"","id","date","country","hazard_type","fatalities","injuries","population_affected","country_code","latitude","longitude","count_nearby_earthquakes","closest_earthquake","average_elevation","country_recent_rainfall_mm","city","latitude_city","longitude_city"
"1",3,2007-01-05,"Brazil","landslide",7,NA,153361,"BR",-22.28234635,-42.53636205,12,748.643777235169,858,NA,"Nova Friburgo",-22.28194,-42.53111
"2",4,2007-01-05,"Brazil","landslide",2,NA,11555,"BR",-22.0452,-42.6734,13,726.789457495196,751,NA,"Pirenopolis",-15.85072,-48.96087
"3",5,2007-01-05,"Brazil","landslide",1,NA,54415,"BR",-23.2311,-46.6136,54,139.055824266892,834,NA,"Wenceslau Braz",-23.87389,-49.80278
"4",329,2007-10-28,"Brazil","landslide",3,NA,105880,"BR",-22.8287,-45.2007,23,158.21197614707,545,NA,"Guaratingueta",-22.81639,-45.1925
"5",442,2008-02-03,"Brazil","landslide",9,NA,272691,"BR",-22.3758,-43.1314,12,656.084351925341,515,NA,"Duartina",-22.41444,-49.40389
"6",903,2008-11-24,"Brazil","landslide",109,NA,47781,"BR",-26.8833,-48.65,71,125.955427570532,7,NA,"Navegantes",-26.89889,-48.65417
"7",933,2008-12-16,"Brazil","landslide",7,NA,2373224,"BR",-19.9167,-43.9333,28,383.58154032306,872,NA,"Belo Horizonte",-19.92083,-43.93778
"8",1019,2009-05-06,"Brazil","landslide",19,NA,70888,"BR",-3.1946,-52.2093,14,788.309748685106,101,NA,"Altamira",-3.20333,-52.20639
"9",1020,2009-05-06,"Brazil","landslide",3,NA,48901,"BR",-5.0804,-45.601,63,532.791465189757,357,NA,"Valente",-11.41222,-39.46194
"10",1142,2009-09-08,"Brazil","landslide",4,NA,10889,"BR",-26.5833,-53.5833,80,219.114206312009,7,NA,"Breves",-1.68222,-50.48028
"11",1143,2009-09-08,"Brazil","landslide",2,NA,10021295,"BR",-23.6419326,-46.4273239,71,119.15063267521,857,NA,"Portelandia",-17.35361,-52.67861
