"","X.2","id","date","country.rf","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population.dis","countrycode.rf","continentcode","tstamp","latitude.dis","longitude.dis","magnitude","tsunami_ind","damage_range","houses_damaged","city_name","latitude.cit","longitude.cit","feature_class","feature_code","population.cit","elevation","average_elevation","timezone","X.rf","X.1","distance_between","X.br","mean.value.","country.br","rainfall_mm","countrycode.br"
"1",3,3,2007-01-05,"Brazil","landslide","Landslide","Rain","",7,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",25,"Large",0.63016,153361,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.28234635,-42.53636205,NA,NA,NA,NA,"Nova Friburgo",-22.28194,-42.53111,"P","PPLA2",153361,NA,858,"America/Sao_Paulo",NA,NA,32.1584559462726,NA,NA,NA,NA,NA
"2",2014,4,2007-01-05,"Brazil","landslide","Landslide","Rain","",2,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",10,"Medium",14.05144,11555,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.0452,-42.6734,NA,NA,NA,NA,"Pirenopolis",-15.85072,-48.96087,"P","PPL",13615,NA,751,"America/Sao_Paulo",NA,NA,565.793607862519,NA,NA,NA,NA,NA
"3",4025,5,2007-01-05,"Brazil","landslide","Landslide","Rain","",1,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",50,"Medium",10.07582,54415,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-23.2311,-46.6136,NA,NA,NA,NA,"Wenceslau Braz",-23.87389,-49.80278,"P","PPL",15726,NA,834,"America/Sao_Paulo",NA,NA,153.82345473103,NA,NA,NA,NA,NA
"4",522671,329,2007-10-28,"Brazil","landslide","Landslide","Rain","",3,NA,"People's Daily Online","http://english.people.com.cn/90001/90782/6293996.html","",10,"Medium",1.60229,105880,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.8287,-45.2007,NA,NA,NA,NA,"Guaratingueta",-22.81639,-45.1925,"P","PPL",105880,NA,545,"America/Sao_Paulo",NA,NA,85.9649935122861,NA,NA,NA,NA,NA
"5",613296,442,2008-02-03,"Brazil","landslide","Landslide","Rain","",9,NA,"","http://www.earthtimes.org/articles/show/182388,brazilian-landslides-kill-at-least-nine.html","",10,"Medium",15.11002,272691,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.3758,-43.1314,NA,NA,NA,NA,"Duartina",-22.41444,-49.40389,"P","PPL",11902,NA,515,"America/Sao_Paulo",NA,NA,254.02212303409,NA,NA,NA,NA,NA
"6",1369770,903,2008-11-24,"Brazil","landslide","Landslide","Continuous_rain","",109,NA,"","http://abcnews.go.com/International/wireStory?id=6329708","",10,"Very_large",1.77619,47781,"BR","SA","Fri Sep 12 2014 21:21:59 GMT+0000 (UTC)",-26.8833,-48.65,NA,NA,NA,NA,"Navegantes",-26.89889,-48.65417,"P","PPL",47781,NA,7,"America/Sao_Paulo",NA,NA,99.4471328398905,NA,NA,NA,NA,NA
"7",1381339,933,2008-12-16,"Brazil","landslide","Mudslide","Downpour","",7,NA,"","http://www.foxnews.com/story/0,2933,468224,00.html","",50,"Medium",0.65511,2373224,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-19.9167,-43.9333,NA,NA,NA,NA,"Belo Horizonte",-19.92083,-43.93778,"P","PPLA",2373224,888,872,"America/Sao_Paulo",NA,NA,29.6760152205836,NA,NA,NA,NA,NA
"8",1388739,1019,2009-05-06,"Brazil","landslide","Mudslide","Rain","",19,NA,"","http://en.wikipedia.org/wiki/2009_Brazilian_floods_and_mudslides#cite_note-186k_homeless_from_flood-0","",NA,"Medium",1.01848,70888,"BR","SA","Mon Sep 15 2014 15:55:57 GMT+0000 (UTC)",-3.1946,-52.2093,NA,NA,NA,NA,"Altamira",-3.20333,-52.20639,"P","PPL",70888,NA,101,"America/Santarem",NA,NA,58.6177367152684,NA,NA,NA,NA,NA
"9",1390750,1020,2009-05-06,"Brazil","landslide","Mudslide","Rain","",3,NA,"","http://www.3news.co.nz/Heavy-rains-leave-186K-homeless-in-northern-Brazil/tabid/417/articleID/102883/cat/782/Default.aspx","",NA,"Medium",61.75306,48901,"BR","SA","Thu Sep 11 2014 20:29:24 GMT+0000 (UTC)",-5.0804,-45.601,NA,NA,NA,NA,"Valente",-11.41222,-39.46194,"P","PPL",12588,NA,357,"America/Bahia",NA,NA,467.578160035588,NA,NA,NA,NA,NA
"10",1533541,1142,2009-09-08,"Brazil","landslide","Complex","Downpour","",4,NA,"","http://news.bbc.co.uk/2/hi/8245351.stm","",5,"Medium",36.88261,10889,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-26.5833,-53.5833,NA,NA,NA,NA,"Breves",-1.68222,-50.48028,"P","PPL",46473,NA,7,"America/Belem",NA,NA,62.9171064518043,NA,NA,NA,NA,NA
