"","date","mean(value)","country","rainfall_mm","countrycode"
"1",2010-01-01,2444.53846153846,"BR",2444.53846153846,"BR"
"2",2010-01-02,1613.15384615385,"BR",1613.15384615385,"BR"
"3",2010-01-03,1631.5,"BR",1631.5,"BR"
"4",2010-01-04,1619.28571428571,"BR",1619.28571428571,"BR"
"5",2010-01-05,749.5,"BR",749.5,"BR"
"6",2010-01-06,924,"BR",924,"BR"
"7",2010-01-07,504.846153846154,"BR",504.846153846154,"BR"
"8",2010-01-08,436.666666666667,"BR",436.666666666667,"BR"
"9",2010-01-09,350.384615384615,"BR",350.384615384615,"BR"
"10",2010-01-10,767.5,"BR",767.5,"BR"
"11",2010-01-11,1381.84615384615,"BR",1381.84615384615,"BR"
"12",2010-01-12,1995.71428571429,"BR",1995.71428571429,"BR"
"13",2011-01-01,2351.23076923077,"BR",2351.23076923077,"BR"
"14",2011-01-02,1893.07692307692,"BR",1893.07692307692,"BR"
"15",2011-01-03,2155.71428571429,"BR",2155.71428571429,"BR"
"16",2011-01-04,2103.46153846154,"BR",2103.46153846154,"BR"
"17",2011-01-05,1199,"BR",1199,"BR"
"18",2011-01-06,762.916666666667,"BR",762.916666666667,"BR"
"19",2011-01-07,482.272727272727,"BR",482.272727272727,"BR"
"20",2011-01-08,442.076923076923,"BR",442.076923076923,"BR"
"21",2011-01-09,236.5,"BR",236.5,"BR"
"22",2011-01-10,1028.07142857143,"BR",1028.07142857143,"BR"
"23",2011-01-11,1242.73333333333,"BR",1242.73333333333,"BR"
"24",2011-01-12,1280.5,"BR",1280.5,"BR"
"25",2012-01-01,2041,"BR",2041,"BR"
"26",2012-01-02,1720.6,"BR",1720.6,"BR"
"27",2012-01-03,1956.85714285714,"BR",1956.85714285714,"BR"
"28",2012-01-04,1134.64285714286,"BR",1134.64285714286,"BR"
"29",2012-01-05,749.071428571429,"BR",749.071428571429,"BR"
"30",2012-01-06,834.142857142857,"BR",834.142857142857,"BR"
"31",2012-01-07,914.333333333333,"BR",914.333333333333,"BR"
"32",2012-01-08,335.272727272727,"BR",335.272727272727,"BR"
"33",2012-01-09,353.333333333333,"BR",353.333333333333,"BR"
"34",2012-01-10,462.5,"BR",462.5,"BR"
"35",2012-01-11,956.285714285714,"BR",956.285714285714,"BR"
"36",2012-01-12,950.769230769231,"BR",950.769230769231,"BR"
"37",2013-01-01,1452.25,"BR",1452.25,"BR"
"38",2013-01-02,1816.64285714286,"BR",1816.64285714286,"BR"
"39",2013-01-03,2102.35714285714,"BR",2102.35714285714,"BR"
"40",2013-01-04,1623.66666666667,"BR",1623.66666666667,"BR"
"41",2013-01-05,1249.60869565217,"BR",1249.60869565217,"BR"
"42",2013-01-06,876.347826086957,"BR",876.347826086957,"BR"
"43",2013-01-07,691.961538461538,"BR",691.961538461538,"BR"
"44",2013-01-08,507.777777777778,"BR",507.777777777778,"BR"
"45",2013-01-09,547.32,"BR",547.32,"BR"
"46",2013-01-10,745.208333333333,"BR",745.208333333333,"BR"
"47",2013-01-11,1111.39130434783,"BR",1111.39130434783,"BR"
"48",2013-01-12,1672.66666666667,"BR",1672.66666666667,"BR"
"49",2014-01-01,1602.5,"BR",1602.5,"BR"
"50",2014-01-02,2059.78260869565,"BR",2059.78260869565,"BR"
"51",2014-01-03,2088.16666666667,"BR",2088.16666666667,"BR"
"52",2014-01-04,1784.91666666667,"BR",1784.91666666667,"BR"
"53",2014-01-05,1719.13636363636,"BR",1719.13636363636,"BR"
"54",2014-01-06,672.789473684211,"BR",672.789473684211,"BR"
"55",2014-01-07,770.083333333333,"BR",770.083333333333,"BR"
"56",2014-01-08,347.285714285714,"BR",347.285714285714,"BR"
"57",2014-01-09,752.75,"BR",752.75,"BR"
"58",2014-01-10,614.714285714286,"BR",614.714285714286,"BR"
"59",2014-01-11,822.714285714286,"BR",822.714285714286,"BR"
"60",2014-01-12,878.133333333333,"BR",878.133333333333,"BR"
"61",2015-01-01,1430.14285714286,"BR",1430.14285714286,"BR"
"62",2015-01-02,1410.06666666667,"BR",1410.06666666667,"BR"
"63",2015-01-03,1558.93333333333,"BR",1558.93333333333,"BR"
"64",2015-01-04,1531.18181818182,"BR",1531.18181818182,"BR"
