city_name	latitude	longitude	feature_class	feature_code	country_code	population	elevation	average_elevation	timezone		
El Tarter	42.57952	1.65362	P	PPL	AD	1052		1721	Europe/Andorra		
Sant Julia de Loria	42.46372	1.49129	P	PPLA	AD	8022		921	Europe/Andorra		
Pas de la Casa	42.54277	1.73361	P	PPL	AD	2363	2050	2106	Europe/Andorra		
Ordino	42.55623	1.53319	P	PPLA	AD	3066		1296	Europe/Andorra		
les Escaldes	42.50729	1.53414	P	PPLA	AD	15853		1033	Europe/Andorra		
la Massana	42.54499	1.51483	P	PPLA	AD	7211		1245	Europe/Andorra		
Encamp	42.53474	1.58014	P	PPLA	AD	11223		1257	Europe/Andorra		
Canillo	42.5676	1.59756	P	PPLA	AD	3292		1561	Europe/Andorra		
Arinsal	42.57205	1.48453	P	PPL	AD	1419		1465	Europe/Andorra		
Andorra la Vella	42.50779	1.52109	P	PPLC	AD	20430		1037	Europe/Andorra		
Umm al Qaywayn	25.56473	55.55517	P	PPLA	AE	44411		2	Asia/Dubai		
Ras al-Khaimah	25.78953	55.9432	P	PPLA	AE	115949		2	Asia/Dubai		
Muzayri`	23.14355	53.7881	P	PPL	AE	10000		123	Asia/Dubai		
Khawr Fakkan	25.33132	56.34199	P	PPL	AE	33575		20	Asia/Dubai		
Dubai	25.0657	55.17128	P	PPLA	AE	1137347		3	Asia/Dubai		
Dibba Al-Fujairah	25.59246	56.26176	P	PPL	AE	30000		16	Asia/Dubai		
Dibba Al-Hisn	25.61955	56.27291	P	PPL	AE	26395		4	Asia/Dubai		
Sharjah	25.33737	55.41206	P	PPLA	AE	543733		6	Asia/Dubai		
Ar Ruways	24.11028	52.73056	P	PPL	AE	16000		16	Asia/Dubai		
Al Fujayrah	25.11641	56.34141	P	PPLA	AE	62415		15	Asia/Dubai		
Al Ain	24.19167	55.76056	P	PPL	AE	408733		275	Asia/Dubai		
Ajman	25.41111	55.43504	P	PPLA	AE	226172		4	Asia/Dubai		
Adh Dhayd	25.28812	55.88157	P	PPL	AE	24716		114	Asia/Dubai		
Abu Dhabi	24.46667	54.36667	P	PPLC	AE	603492		6	Asia/Dubai		
Zorkot	33.54149	69.73446	P	PPLA2	AF	0		1845	Asia/Kabul		
Wuleswali Bihsud	34.3436	67.90567	P	PPLA2	AF	0		2960	Asia/Kabul		
Kuhsan	34.65389	61.19778	P	PPLA2	AF	12087		740	Asia/Kabul		
Lash	35.3782	64.77457	P	PPLA2	AF	0		1927	Asia/Kabul		
Tukzar	35.94831	66.42132	P	PPLA2	AF	12021		1210	Asia/Kabul		
Miray	33.32462	68.44068	P	PPLA2	AF	0		2077	Asia/Kabul		
Aq Kupruk	36.08352	66.84029	P	PPLA2	AF	0		719	Asia/Kabul		
Zurmat	33.43778	69.02774	P	PPLA2	AF	0		2150	Asia/Kabul		
Zaybak	36.52947	71.3441	P	PPLA2	AF	0		2616	Asia/Kabul		
Ziarat-e Shah Maqsud	31.9848	65.4736	P	PPLA2	AF	0		1577	Asia/Kabul		
Zindah Jan	34.34264	61.74675	P	PPLA2	AF	10104		834	Asia/Kabul		
Zarghun Shahr	32.84734	68.44573	P	PPL	AF	13737		2120	Asia/Kabul		
Zarah Sharan	33.14641	68.79213	P	PPL	AF	7366		2154	Asia/Kabul		
Zaranj	30.95962	61.86037	P	PPLA	AF	49851		489	Asia/Kabul		
Zamto Kelay	32.3726	66.17708	P	PPLA2	AF	0		1925	Asia/Kabul		
Yangi Qal`ah	37.46572	69.61131	P	PPL	AF	6541		471	Asia/Kabul		
Yahya Khel	32.93742	68.64622	P	PPLA2	AF	0		2136	Asia/Kabul		
Washer	32.25122	63.85553	P	PPLA2	AF	0		1175	Asia/Kabul		
Tormay	33.68847	68.40205	P	PPLA2	AF	0		2296	Asia/Kabul		
Tulak	33.97509	63.72868	P	PPLA2	AF	0		2275	Asia/Kabul		
Titan	33.69032	63.86361	P	PPLA2	AF	0		2194	Asia/Kabul		
Tir Pul	34.59431	61.26895	P	PPL	AF	6979		751	Asia/Kabul		
Taywarah	33.52118	64.42116	P	PPLA2	AF	0		2160	Asia/Kabul		
Bazar-e Tashkan	36.88168	70.27674	P	PPLA2	AF	0		1285	Asia/Kabul		
Tarinkot	32.62998	65.87806	P	PPLA	AF	10000		1325	Asia/Kabul		
Taloqan	36.73605	69.53451	P	PPLA	AF	64256		801	Asia/Kabul		
Tagaw-Bay	35.69941	66.06164	P	PPL	AF	9096		1666	Asia/Kabul		
Tagab	34.85501	69.64917	P	PPL	AF	6400		1335	Asia/Kabul		
Markaz-e Hukumat-e Sultan-e Bakwah	32.24139	62.94936	P	PPLA2	AF	0		724	Asia/Kabul		
Spin Boldak	31.00575	66.40001	P	PPLA2	AF	0		1218	Asia/Kabul		
Sperah	33.20204	69.5152	P	PPLA2	AF	0		1743	Asia/Kabul		
Sozmah Qal`ah	36.09916	66.20823	P	PPLA2	AF	0		870	Asia/Kabul		
Siyahgird	35.00553	68.85578	P	PPLA2	AF	0		1878	Asia/Kabul		
Sheywah	34.57169	70.58859	P	PPLA2	AF	0		602	Asia/Kabul		
Shindand	33.30294	62.1474	P	PPLA2	AF	29264		1071	Asia/Kabul		
Shaykh Amir Kelay	33.28744	69.91283	P	PPLA2	AF	0		1207	Asia/Kabul		
Qashqal	35.03975	69.00685	P	PPLA2	AF	0		1733	Asia/Kabul		
Shibirghan	36.66757	65.7529	P	PPLA	AF	55641		360	Asia/Kabul		
Shwak	33.42386	69.37684	P	PPLA2	AF	0		2300	Asia/Kabul		
Shahr-e Safa	31.80347	66.32376	P	PPLA2	AF	0		1257	Asia/Kabul		
Shahran	36.97984	70.73928	P	PPLA2	AF	0		2093	Asia/Kabul		
Shahrak	34.10737	64.3052	P	PPLA2	AF	15967		2357	Asia/Kabul		
`Alaqahdari Shah Joy	32.52154	67.41315	P	PPLA2	AF	0		1865	Asia/Kabul		
Wuleswali Sayyid Karam	33.69056	69.36881	P	PPLA2	AF	0		2458	Asia/Kabul		
Markaz-e Sayyidabad	34.00037	68.71346	P	PPLA2	AF	0		2113	Asia/Kabul		
Sayad	36.13529	65.8297	P	PPLA2	AF	0		946	Asia/Kabul		
Sidqabad	35.02298	69.35112	P	PPLA	AF	7407		1486	Asia/Kabul		
Sayagaz	32.56521	67.03324	P	PPLA2	AF	0		1673	Asia/Kabul		
Sar-e Tayghan	33.50998	65.67632	P	PPLA2	AF	0		1423	Asia/Kabul		
Sarobi	34.58962	69.76005	P	PPLA2	AF	0		987	Asia/Kabul		
Sar Kani	34.79023	71.10962	P	PPLA2	AF	0		792	Asia/Kabul		
Sarfiraz Kala	32.98333	67.96517	P	PPLA2	AF	0		2106	Asia/Kabul		
Sar-e Pul	36.21544	65.93249	P	PPLA	AF	52121		636	Asia/Kabul		
Sar Chakan	35.70177	65.23055	P	PPLA2	AF	0		1348	Asia/Kabul		
Sangin	32.07275	64.8359	P	PPLA2	AF	13579		885	Asia/Kabul		
Sang-e Mashah	33.1396	67.44046	P	PPLA2	AF	0		2484	Asia/Kabul		
Sang-e Charak	35.84972	66.43694	P	PPL	AF	15377		1483	Asia/Kabul		
Sang Atesh	35.248	63.0044	P	PPLA2	AF	0		634	Asia/Kabul		
Sangar Saray	34.40744	70.63937	P	PPLA2	AF	0		517	Asia/Kabul		
Aibak	36.26468	68.01551	P	PPLA	AF	47823		969	Asia/Kabul		
Ru-ye Sang	35.31999	67.63387	P	PPLA2	AF	0		1751	Asia/Kabul		
Rudbar	30.15	62.6	P	PPL	AF	11034		556	Asia/Kabul		
Rustaq	37.12604	69.83045	P	PPLA2	AF	25636		1314	Asia/Kabul		
Rabat-e Sangi-ye Pa'in	34.79951	62.13917	P	PPLA2	AF	0		1192	Asia/Kabul		
Ramak	33.52234	68.6264	P	PPLA2	AF	0		2183	Asia/Kabul		
Qurghan	36.91939	65.0649	P	PPLA2	AF	0		312	Asia/Kabul		
Quchanghi	34.06183	66.27801	P	PPLA2	AF	0		2456	Asia/Kabul		
Sangalak-i-Kaisar	35.68747	64.29318	P	PPLA2	AF	0		1258	Asia/Kabul		
Qarqin	37.41853	66.04358	P	PPLA2	AF	15018		263	Asia/Kabul		
Qarghah'i	34.55402	70.24292	P	PPLA2	AF	0		659	Asia/Kabul		
Qarchi Gak	37.03999	66.78891	P	PPL	AF	8942		306	Asia/Kabul		
Qarawul	37.21959	68.7802	P	PPL	AF	24544		337	Asia/Kabul		
Qarah Bagh	34.94023	61.77589	P	PPLA2	AF	12412		952	Asia/Kabul		
Qarah Bagh	33.19801	68.10798	P	PPLA2	AF	0		2089	Asia/Kabul		
Qala i Naw	34.98735	63.12891	P	PPLA	AF	9000		887	Asia/Kabul		
Qal`ah-ye Kuf	38.04119	70.47298	P	PPLA2	AF	0		1383	Asia/Kabul		
Qal`ah-ye Kuhnah	32.61591	63.66681	P	PPLA2	AF	0		1429	Asia/Kabul		
Qal`ah-ye Shahr	35.54729	65.5676	P	PPL	AF	7756		2136	Asia/Kabul		
Qalat	32.10575	66.90833	P	PPLA	AF	12191		1568	Asia/Kabul		
Qal`ah-ye Shahi	34.64921	70.5914	P	PPLA2	AF	0		894	Asia/Kabul		
Qadis	34.8085	63.43003	P	PPLA2	AF	0		1300	Asia/Kabul		
Parun	35.42064	70.92261	P	PPLA	AF	1000		2756	Asia/Kabul		
Pul-e Khumri	35.94458	68.71512	P	PPLA	AF	56369		638	Asia/Kabul		
Pul-e `Alam	33.99529	69.02274	P	PPLA	AF	13247		1921	Asia/Kabul		
Pasnay	35.76664	65.76486	P	PPLA2	AF	0		1759	Asia/Kabul		
Pashmul	31.5572	65.4343	P	PPLA2	AF	0		946	Asia/Kabul		
Pasaband	33.68956	64.8531	P	PPLA2	AF	0		2468	Asia/Kabul		
Panjab	34.38795	67.02327	P	PPLA2	AF	13471		2728	Asia/Kabul		
Paghman	34.58787	68.95091	P	PPL	AF	49157		2328	Asia/Kabul		
Omnah	32.90029	68.79627	P	PPLA2	AF	0		2595	Asia/Kabul		
Qaryeh-ye Owbeh	34.36972	63.17639	P	PPLA2	AF	0		1287	Asia/Kabul		
Uruzgan	32.92775	66.63253	P	PPL	AF	13388		2026	Asia/Kabul		
Urgun	32.94111	69.18	P	PPLA2	AF	0		2220	Asia/Kabul		
Nusay	38.4435	70.80413	P	PPLA2	AF	0		1260	Asia/Kabul		
Nurgal	34.61341	70.76498	P	PPLA2	AF	0		679	Asia/Kabul		
Now Zad	32.40315	64.46959	P	PPLA2	AF	0		1220	Asia/Kabul		
Nili	33.72178	66.13023	P	PPLA	AF	0	2022	2069	Asia/Kabul		
Nayak	34.73414	66.95292	P	PPLA2	AF	0		2554	Asia/Kabul		
Nayak	32.5723	66.77403	P	PPLA2	AF	0		2116	Asia/Kabul		
Now Dahanak	35.62398	70.00511	P	PPLA2	AF	0		2629	Asia/Kabul		
Okak	33.89793	67.95652	P	PPLA2	AF	0		3068	Asia/Kabul		
Naray	35.21995	71.52284	P	PPLA2	AF	0		1098	Asia/Kabul		
Narang	34.76009	71.04738	P	PPLA2	AF	0		779	Asia/Kabul		
Nikeh	33.18934	69.27179	P	PPLA2	AF	0		2488	Asia/Kabul		
Nahrin	36.0649	69.13343	P	PPLA2	AF	22363		1138	Asia/Kabul		
Hukumat-e Nad `Ali	31.64286	64.23982	P	PPLA2	AF	0		797	Asia/Kabul		
Musa Qal`ah	32.44565	64.74486	P	PPLA2	AF	0		1053	Asia/Kabul		
Bala Murghab	35.58408	63.32886	P	PPLA2	AF	0		466	Asia/Kabul		
Muqer	32.82009	67.76934	P	PPLA2	AF	0		2000	Asia/Kabul		
Muhammad Aghah Wuluswali	34.21422	69.10026	P	PPLA2	AF	0		1853	Asia/Kabul		
Mizan `Alaqahdari	32.17635	66.51271	P	PPLA2	AF	0		1409	Asia/Kabul		
Mir Bachah Kot	34.74999	69.11899	P	PPLA2	AF	5405		1673	Asia/Kabul		
Miran	34.22037	68.31259	P	PPLA2	AF	0		2457	Asia/Kabul		
Mirabad	30.43624	61.8383	P	PPL	AF	14160		514	Asia/Kabul		
Maymana	35.92139	64.78361	P	PPLA	AF	75900	877	864	Asia/Kabul		
Maidan Khulah	33.64916	69.7812	P	PPLA2	AF	0		2026	Asia/Kabul		
Mingajik	37.0279	66.12817	P	PPLA2	AF	0		280	Asia/Kabul		
Mehtar Lam	34.67139	70.20944	P	PPLA	AF	17345		795	Asia/Kabul		
Mazar-e Sharif	36.70904	67.11087	P	PPLA	AF	303282		361	Asia/Kabul		
Maymay	38.40856	71.03839	P	PPLA2	AF	0		1636	Asia/Kabul		
Muta Khan	33.24001	68.8663	P	PPLA2	AF	0		2124	Asia/Kabul		
Mashhad	36.81665	70.10211	P	PPLA2	AF	0		977	Asia/Kabul		
Mardian	36.99252	66.29654	P	PPLA2	AF	0		287	Asia/Kabul		
Mandol	35.28403	70.17017	P	PPLA2	AF	0		2003	Asia/Kabul		
Mama Khel	34.24494	69.9968	P	PPLA2	AF	0		1531	Asia/Kabul		
Lashkar Gah	31.59382	64.37161	P	PPLA	AF	43934		786	Asia/Kabul		
Lash-e Juwayn	31.71382	61.62272	P	PPLA2	AF	0		513	Asia/Kabul		
Larkird	35.48936	66.66409	P	PPL	AF	11635		1508	Asia/Kabul		
La`l	34.50141	66.27997	P	PPLA2	AF	0		2797	Asia/Kabul		
Kushk	33.29565	61.95221	P	PPL	AF	16952		1115	Asia/Kabul		
Kotowal	34.10319	70.46073	P	PPLA2	AF	0		1464	Asia/Kabul		
Kushk-e Kuhnah	34.8711	62.54762	P	PPLA2	AF	0		1076	Asia/Kabul		
Kuran wa Munjan	36.02866	70.77258	P	PPLA2	AF	0		2550	Asia/Kabul		
Kunduz	36.72895	68.857	P	PPLA	AF	161902		402	Asia/Kabul		
Khoshi	33.99916	69.21582	P	PPLA2	AF	0		2252	Asia/Kabul		
Khoshamand	32.68567	68.23801	P	PPLA2	AF	0		2011	Asia/Kabul		
Khwajah Ghar	37.06588	69.42126	P	PPLA2	AF	0		512	Asia/Kabul		
Khwajah Du Koh	36.82881	65.62432	P	PPLA2	AF	0		307	Asia/Kabul		
Deh Khwahan	37.88965	70.21875	P	PPLA2	AF	0		1047	Asia/Kabul		
Khulbisat	33.4948	70.00605	P	PPLA2	AF	0		1148	Asia/Kabul		
Khugyani	31.56267	66.5814	P	PPLA2	AF	0		1311	Asia/Kabul		
Khost	33.33951	69.92041	P	PPLA	AF	96123		1183	Asia/Kabul		
Khulm	36.69736	67.69826	P	PPLA2	AF	64933		445	Asia/Kabul		
Khudaydad Khel	35.17835	67.68758	P	PPLA2	AF	0		2030	Asia/Kabul		
Khinjan	35.58908	68.90093	P	PPLA2	AF	0		1132	Asia/Kabul		
Khinj	35.42898	69.73482	P	PPLA2	AF	0		2225	Asia/Kabul		
Khash	31.52919	62.79055	P	PPL	AF	15133		579	Asia/Kabul		
Khan Neshin	30.5488	63.7888	P	PPLA2	AF	0		635	Asia/Kabul		
Khanaqah	36.62587	69.53695	P	PPLA2	AF	0		1378	Asia/Kabul		
Chahar Bagh	37.00108	65.22392	P	PPLA2	AF	0		284	Asia/Kabul		
Khandud	36.95127	72.318	P	PPLA2	AF	5521		2807	Asia/Kabul		
Khanaqah	36.86279	66.16656	P	PPLA2	AF	0		299	Asia/Kabul		
Khanabad	36.6825	69.11556	P	PPL	AF	71531		503	Asia/Kabul		
Khamyab	37.5275	65.75833	P	PPLA2	AF	0		254	Asia/Kabul		
Khakiran	32.8385	67.07377	P	PPLA2	AF	0		2673	Asia/Kabul		
Kazhah	34.24088	70.18274	P	PPLA2	AF	0		1276	Asia/Kabul		
Kishk-e Nakhud	31.62519	65.05511	P	PPLA2	AF	0		944	Asia/Kabul		
Karukh	34.48108	62.5863	P	PPLA2	AF	17484		1340	Asia/Kabul		
Kanday	34.9536	70.77897	P	PPLA2	AF	0		1222	Asia/Kabul		
Kandahar	31.61332	65.71013	P	PPLA	AF	391190		1007	Asia/Kabul		
Kalan Deh	33.83676	68.40233	P	PPLA2	AF	0		2502	Asia/Kabul		
Kalakan	34.78371	69.15001	P	PPLA2	AF	0		1593	Asia/Kabul		
Kalafgan	36.77226	69.94489	P	PPLA2	AF	0		1590	Asia/Kabul		
Kajran	33.20357	65.47311	P	PPLA2	AF	0		1364	Asia/Kabul		
Kai	34.12819	70.71828	P	PPLA2	AF	0		945	Asia/Kabul		
Kabul	34.52813	69.17233	P	PPLC	AF	3043532		1798	Asia/Kabul		
Jurm	36.86477	70.83421	P	PPLA2	AF	12106		1564	Asia/Kabul		
Jawand	35.06361	64.14917	P	PPLA2	AF	0		945	Asia/Kabul		
Jani Khel	32.76315	68.39722	P	PPLA2	AF	0		2048	Asia/Kabul		
Jalrez	34.4708	68.65438	P	PPLA2	AF	0		2347	Asia/Kabul		
Jalalabad	34.42647	70.45153	P	PPLA	AF	200331		575	Asia/Kabul		
Jabal os Saraj	35.11833	69.23778	P	PPL	AF	15032		1612	Asia/Kabul		
Hukumat-e Shinkai	31.98303	67.33558	P	PPLA2	AF	0		1936	Asia/Kabul		
Herat	34.34817	62.19967	P	PPLA	AF	272806		927	Asia/Kabul		
Haji Khel	35.10922	69.43341	P	PPLA2	AF	0		1914	Asia/Kabul		
Hafiz Moghul	37.05643	70.40061	P	PPLA2	AF	0		1700	Asia/Kabul		
Khafizan	34.28665	70.37247	P	PPLA2	AF	0		909	Asia/Kabul		
Guzarah	34.21223	62.21235	P	PPLA2	AF	0		983	Asia/Kabul		
Goshtah	34.35822	70.76264	P	PPLA2	AF	0		483	Asia/Kabul		
Gomal Kelay	32.50989	68.85598	P	PPLA2	AF	0		1827	Asia/Kabul		
`Alaqahdari Gelan	32.72692	67.63696	P	PPLA2	AF	0		1987	Asia/Kabul		
Ghoriyan	34.3448	61.49321	P	PPLA2	AF	0		796	Asia/Kabul		
Ghormach	35.73062	63.78264	P	PPLA2	AF	30000		659	Asia/Kabul		
Ghurayd Gharame	36.5222	70.79063	P	PPLA2	AF	0		1884	Asia/Kabul		
Ghazni	33.55391	68.42096	P	PPLA	AF	141000		2179	Asia/Kabul		
Gereshk	31.82089	64.57005	P	PPLA2	AF	43588		830	Asia/Kabul		
Gardez	33.59744	69.22592	P	PPLA	AF	103601		2308	Asia/Kabul		
