"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population.dis","countrycode","continentcode","tstamp","latitude.dis","longitude.dis","magnitude","tsunami_ind","damage_range","houses_damaged","city_name","latitude.cit","longitude.cit","feature_class","feature_code","population.cit","elevation","average_elevation","timezone","X","X.1","distance_between"
"1",1,2007-01-02,"United Kingdom","landslide","Landslide","Rain","",1,NA,"The Times","http://www.timesonline.co.uk/tol/newspapers/sunday_times/britain/article1288510.ece","",5,"Medium",0.22405,24803,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",54.5494,-3.5875,NA,NA,NA,NA,"Ystrad Mynach",51.64276,-3.2362,"P","PPLA2",0,NA,115,"Europe/London","","",18390.0302219076
"2",2,2007-01-03,"Peru","landslide","Complex","Rain","",NA,NA,"My Opera","http://my.opera.com/bibberle/blog/index.dml/tag/Landslide","",NA,"Medium",12.26171,0,"PE","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-10.3838,-75.4267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2007-01-05,"Brazil","landslide","Landslide","Rain","",7,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",25,"Large",0.63016,153361,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.28234635,-42.53636205,NA,NA,NA,NA,"Nova Friburgo",-22.28194,-42.53111,"P","PPLA2",153361,NA,858,"America/Sao_Paulo","","",32.1584559462726
"2014",4,2007-01-05,"Brazil","landslide","Landslide","Rain","",2,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",10,"Medium",14.05144,11555,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.0452,-42.6734,NA,NA,NA,NA,"Pirenopolis",-15.85072,-48.96087,"P","PPL",13615,NA,751,"America/Sao_Paulo","","",565.793607862519
"4025",5,2007-01-05,"Brazil","landslide","Landslide","Rain","",1,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",50,"Medium",10.07582,54415,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-23.2311,-46.6136,NA,NA,NA,NA,"Wenceslau Braz",-23.87389,-49.80278,"P","PPL",15726,NA,834,"America/Sao_Paulo","","",153.82345473103
"6036",6,2007-01-05,"Pakistan","landslide","Landslide","Rain","",13,NA,"Daily Times of Pakistan","http://www.dailytimes.com.pk/default.asp?page=2007/01/06/story_6-1-2007_pg7_5","",50,"Medium",19.21263,0,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.5452,73.7062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6037",7,2007-01-08,"Brunei","landslide","Landslide","Rain","",NA,NA,"Borneo Bulletin - Brunei Direct","http://www.brudirect.com/DailyInfo/News/Archive/Jan07/080107/nite04.htm","",10,"Medium",5.87279,64409,"BN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",4.9833,114.917,NA,NA,NA,NA,"Bandar Seri Begawan",4.94029,114.94806,"P","PPLC",64409,NA,16,"Asia/Brunei","","",278.304260286541
"6042",8,2007-01-08,"Indonesia","landslide","Complex","Rain","",28,NA,"indahnesia.com","http://news.indahnesia.com/item/200701096/13_buried_in_sumatra_landslide.php","",25,"Medium",42.08436,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",0.0667,100.9833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6043",9,2007-01-11,"Philippines","landslide","Landslide","Unknown","",6,NA,"Sun Star Online","http://www.sunstar.com.ph/static/net/2007/01/13/landslide.traps.11.compostela.valley.miners.html","",25,"Medium",0.49587,6148,"PH","AS","Fri Sep 12 2014 20:04:31 GMT+0000 (UTC)",7.5314,126.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6044",10,2007-01-13,"Sri Lanka","landslide","Landslide","Rain","",2,NA,"World Socialist Web Site - Asian Tribune","http://www.asiantribune.com/index.php?q=node/4361","",10,"Large",2.83392,25775,"LK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",6.9658,80.7577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6045",11,2007-01-13,"United Kingdom","landslide","Landslide","Downpour","",NA,NA,"Croydon Guardian","http://www.croydonguardian.co.uk/news/localnews/display.var.1126761.0.landslide_causes_train_derailment.php","",5,"Medium",2.42905,51559,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",51.28876789,-0.154356568,NA,NA,NA,NA,"Ystrad Mynach",51.64276,-3.2362,"P","PPLA2",0,NA,115,"Europe/London","","",4719.41382376705
"6046",12,2007-01-14,"Iran","landslide","Complex","Rain","",NA,NA,"Fars News Agency","http://english.farsnews.com/newstext.php?nn=8510240566","",NA,"Large",24.88463,199382,"IR","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.3667,52.1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6047",13,2007-01-11,"Indonesia","landslide","Mudslide","Downpour","",24,NA,"Reuters - AlertNet.org","https://web.archive.org/web/20081205015640/http://www.alertnet.org/thenews/newsdesk/JAK86240.htm","Unknown",NA,"Large",4.44417,0,"ID","AS","Fri Jan 08 2016 17:33:47 GMT+0000 (UTC)",3.5424,125.5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6048",14,2007-01-17,"Philippines","landslide","Landslide","Rain","",NA,NA,"balita.ph","http://news.balita.ph/html/article.php/20070117102425566","",25,"Medium",5.49933,3381,"PH","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",8.6184,125.6732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6049",15,2007-01-18,"Philippines","landslide","Landslide","Rain","",5,NA,"Manila standard today.com","http://www.manilastandardtoday.com/?page=regions3_jan22_2007","",50,"Medium",4.06522,2830,"PH","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",17.1167,120.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6050",16,2007-01-19,"China","landslide","Landslide","Rain","",8,NA,"The hindu.com","http://www.hindu.com/thehindu/holnus/003200701190924.htm","",50,"Medium",1.73237,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",29.3631,115.4786,NA,NA,NA,NA,"Cheqiao",29.36082,115.46095,"P","PPLA4",0,NA,90,"Asia/Shanghai","","",54.2233715807669
"20862",17,2007-01-31,"Indonesia","landslide","Landslide","Rain","",6,NA,"People's Daily Online","http://english.people.com.cn/200701/31/eng20070131_346481.html","",5,"Medium",2.61442,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-0.6811,119.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20863",18,2007-02-02,"Peru","landslide","Landslide","Rain","",5,NA,"Unsure","","",NA,"Medium",14.94244,2000,"PE","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-13.268,-72.4005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20864",19,2007-02-04,"Canada","landslide","Complex","Rain","",NA,NA,"CTV news","http://www.ctv.ca/servlet/ArticleNews/story/CTVNews/20070204/bc_rockslide_070204/20070204?hub=Canada","",10,"Medium",1.19034,10600,"CA",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.1067,-122.9765,NA,NA,NA,NA,"Whistler",50.1164,-122.96946,"P","PPL",10600,NA,688,"America/Vancouver","","",76.0490508413233
"21692",20,2007-02-06,"Indonesia","landslide","Landslide","Rain","",7,NA,"ICL","http://cempaka-nature.blogspot.com/2007_01_07_archive.html","",25,"Medium",0.6654,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-6.25,106.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21693",21,2007-02-07,"United Kingdom","landslide","Landslide","Unknown","",NA,NA,"Imedinews.com","http://www.imedinews.ge/en/news_read/19496","",5,"Medium",1.77064,11853,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.7035,-3.2243,NA,NA,NA,NA,"Ystrad Mynach",51.64276,-3.2362,"P","PPLA2",0,NA,115,"Europe/London","","",5984.12279472889
"21694",22,2007-02-11,"Brunei","landslide","Landslide","Rain","",NA,NA,"Borneo Bulletin - Brunei Direct","http://www.brudirect.com/DailyInfo/News/Archive/Feb07/100207/bb02.htm","",50,"Small",33.23722,19151,"BN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",4.4999,114.6667,NA,NA,NA,NA,"Kuala Belait",4.58361,114.2312,"P","PPLA",31178,NA,5,"Asia/Brunei","","",699.982142459986
