"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population","countrycode","continentcode","tstamp","latitude","longitude","magnitude","tsunami_ind","damage_range","houses_damaged"
"1",1,2007-01-02,"United Kingdom","landslide","Landslide","Rain","",1,NA,"The Times","http://www.timesonline.co.uk/tol/newspapers/sunday_times/britain/article1288510.ece","",5,"Medium",0.22405,24803,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",54.5494,-3.5875,NA,NA,NA,NA
"2",2,2007-01-03,"Peru","landslide","Complex","Rain","",NA,NA,"My Opera","http://my.opera.com/bibberle/blog/index.dml/tag/Landslide","",NA,"Medium",12.26171,0,"PE","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-10.3838,-75.4267,NA,NA,NA,NA
"3",3,2007-01-05,"Brazil","landslide","Landslide","Rain","",7,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",25,"Large",0.63016,153361,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.28234635,-42.53636205,NA,NA,NA,NA
"4",4,2007-01-05,"Brazil","landslide","Landslide","Rain","",2,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",10,"Medium",14.05144,11555,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-22.0452,-42.6734,NA,NA,NA,NA
"5",5,2007-01-05,"Brazil","landslide","Landslide","Rain","",1,NA,"Deutsche Presse-Agentur - MonstersandCritics","http://news.monstersandcritics.com/americas/news/article_1240141.php/Rain_leaves_at_least_20_people_dead_in_Brazil","",50,"Medium",10.07582,54415,"BR","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-23.2311,-46.6136,NA,NA,NA,NA
"6",6,2007-01-05,"Pakistan","landslide","Landslide","Rain","",13,NA,"Daily Times of Pakistan","http://www.dailytimes.com.pk/default.asp?page=2007/01/06/story_6-1-2007_pg7_5","",50,"Medium",19.21263,0,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.5452,73.7062,NA,NA,NA,NA
"7",7,2007-01-08,"Brunei","landslide","Landslide","Rain","",NA,NA,"Borneo Bulletin - Brunei Direct","http://www.brudirect.com/DailyInfo/News/Archive/Jan07/080107/nite04.htm","",10,"Medium",5.87279,64409,"BN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",4.9833,114.917,NA,NA,NA,NA
"8",8,2007-01-08,"Indonesia","landslide","Complex","Rain","",28,NA,"indahnesia.com","http://news.indahnesia.com/item/200701096/13_buried_in_sumatra_landslide.php","",25,"Medium",42.08436,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",0.0667,100.9833,NA,NA,NA,NA
"9",9,2007-01-11,"Philippines","landslide","Landslide","Unknown","",6,NA,"Sun Star Online","http://www.sunstar.com.ph/static/net/2007/01/13/landslide.traps.11.compostela.valley.miners.html","",25,"Medium",0.49587,6148,"PH","AS","Fri Sep 12 2014 20:04:31 GMT+0000 (UTC)",7.5314,126.013,NA,NA,NA,NA
"10",10,2007-01-13,"Sri Lanka","landslide","Landslide","Rain","",2,NA,"World Socialist Web Site - Asian Tribune","http://www.asiantribune.com/index.php?q=node/4361","",10,"Large",2.83392,25775,"LK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",6.9658,80.7577,NA,NA,NA,NA
"11",11,2007-01-13,"United Kingdom","landslide","Landslide","Downpour","",NA,NA,"Croydon Guardian","http://www.croydonguardian.co.uk/news/localnews/display.var.1126761.0.landslide_causes_train_derailment.php","",5,"Medium",2.42905,51559,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",51.28876789,-0.154356568,NA,NA,NA,NA
"12",12,2007-01-14,"Iran","landslide","Complex","Rain","",NA,NA,"Fars News Agency","http://english.farsnews.com/newstext.php?nn=8510240566","",NA,"Large",24.88463,199382,"IR","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.3667,52.1042,NA,NA,NA,NA
"13",13,2007-01-11,"Indonesia","landslide","Mudslide","Downpour","",24,NA,"Reuters - AlertNet.org","https://web.archive.org/web/20081205015640/http://www.alertnet.org/thenews/newsdesk/JAK86240.htm","Unknown",NA,"Large",4.44417,0,"ID","AS","Fri Jan 08 2016 17:33:47 GMT+0000 (UTC)",3.5424,125.5401,NA,NA,NA,NA
