"","country","year(date)","landslides","earthquakes","fatalities","injuries","avg_affected_pop","avg_elevation","avg_magnitude","max_magnitude","mode_damage","earthquake_houses_damaged","avg_distance_to_city"
"1","Afghanistan",2007,2,0,115,NA,1521766,1094,NA,NA,"numeric",NA,266.881263205985
"2","Afghanistan",2008,2,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"3","Afghanistan",2009,1,2,29,NA,NA,NA,NA,NA,"numeric",NA,NA
"4","Afghanistan",2010,2,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"5","Afghanistan",2012,0,1,75,13,NA,NA,5.8,5.8,"numeric",593,NA
"6","Afghanistan",2013,0,1,18,141,NA,NA,5.5,5.5,"numeric",676,NA
"7","Afghanistan",2014,3,0,2105,0,30212,1659.66666666667,NA,NA,"numeric",NA,418.684107767685
"8","Afghanistan",2015,0,2,302,1797,NA,NA,6.9,7.5,"numeric",NA,NA
"9","Afghanistan",2016,0,1,6,5,NA,NA,6.6,6.6,"numeric",20,NA
"10","Albania",2007,0,1,NA,NA,NA,NA,4.5,4.5,"numeric",NA,NA
"11","Albania",2010,1,0,0,NA,0,85,NA,NA,"numeric",NA,295.126882924378
"12","Albania",2014,0,1,NA,NA,NA,NA,5.1,5.1,"numeric",NA,NA
"13","Algeria",2008,0,2,2,NA,NA,NA,5.05,5.5,"numeric",NA,NA
"14","Algeria",2010,0,1,2,43,NA,NA,5.2,5.2,"numeric",NA,NA
"15","Algeria",2013,0,2,NA,16,NA,NA,4.85,4.9,"numeric",NA,NA
"16","Algeria",2014,0,1,6,420,NA,NA,5.6,5.6,"numeric",NA,NA
"17","Algeria ",2009,1,0,6,NA,148000,9,NA,NA,"numeric",NA,165.469006366584
"18","American Samoa",2009,4,0,0,NA,2541.5,72.5,NA,NA,"numeric",NA,73.2760506210636
"19","American Samoa",2012,1,0,NA,NA,2124,19,NA,NA,"numeric",NA,152.981846223413
"20","Angola",2010,2,0,0,NA,2776168,73,NA,NA,"numeric",NA,340.134444540808
"21","Angola",2011,1,0,0,NA,2776168,73,NA,NA,"numeric",NA,734.690277691444
"22","Antarctica",2013,0,1,NA,NA,NA,NA,7.8,7.8,"numeric",NA,NA
"23","Argentina",2008,0,1,NA,NA,NA,NA,4.1,4.1,"numeric",NA,NA
"24","Argentina",2009,3,0,3,NA,312567.666666667,526.333333333333,NA,NA,"numeric",NA,61.8335287673122
"25","Argentina",2010,1,1,5,NA,NA,NA,NA,NA,"numeric",NA,NA
"26","Argentina",2013,1,0,NA,NA,56859,29,NA,NA,"numeric",NA,31.5113998732271
"27","Argentina",2014,1,0,3,0,1083,1296,NA,NA,"numeric",NA,48.6741073978378
"28","Argentina",2015,0,1,1,5,NA,NA,5.8,5.8,"numeric",20,NA
"29","Armenia",2010,2,0,0,NA,2277,1045.5,NA,NA,"numeric",NA,402.021805630925
"30","Armenia",2011,1,0,3,NA,1235,754,NA,NA,"numeric",NA,187.83176502919
"31","Atlantic Ocean",2008,0,1,NA,NA,NA,NA,5,5,"numeric",NA,NA
"32","Australia",2007,1,0,NA,NA,15582,119,NA,NA,"numeric",NA,201.826909243308
"33","Australia",2008,6,0,NA,NA,40680.1666666667,348.166666666667,NA,NA,"numeric",NA,159.153851787321
"34","Australia",2009,5,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"35","Australia",2010,21,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"36","Australia",2011,24,0,NA,NA,209426.25,129.875,NA,NA,"numeric",NA,367.681506392782
"37","Australia",2012,11,0,NA,NA,7241.63636363636,305.090909090909,NA,NA,"numeric",NA,307.486202039852
"38","Australia",2013,10,0,NA,NA,20490.4,152.2,NA,NA,"numeric",NA,262.61954400378
"39","Australia",2014,1,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"40","Austria",2007,1,0,NA,NA,9651,434,NA,NA,"numeric",NA,300.086123657937
"41","Austria",2010,2,0,1,NA,0,696,NA,NA,"numeric",NA,464.041254273752
"42","Austria",2012,1,0,NA,NA,0,644,NA,NA,"numeric",NA,74.0650358724129
"43","Austria",2013,6,0,NA,NA,4098.83333333333,848,NA,NA,"numeric",NA,157.191126083704
"44","Azerbaijan",2008,2,0,NA,NA,7392,NA,NA,NA,"numeric",NA,NA
"45","Azerbaijan",2010,16,0,4,NA,32191.875,642.75,NA,NA,"numeric",NA,560.335976135974
"46","Azerbaijan",2012,0,1,NA,50,NA,NA,5.7,5.7,"numeric",NA,NA
"47","Azerbaijan",2014,1,0,0,0,37949,75,NA,NA,"numeric",NA,221.037117112863
"48","Bangladesh",2007,5,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"49","Bangladesh",2008,4,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"50","Bangladesh",2009,2,0,16,NA,19015.5,21.5,NA,NA,"numeric",NA,713.775110514214
"51","Bangladesh",2010,8,1,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"52","Bangladesh",2011,3,0,23,NA,4769748.33333333,20.6666666666667,NA,NA,"numeric",NA,49.28967107553
"53","Bangladesh",2012,5,0,110,NA,946718.2,18.4,NA,NA,"numeric",NA,562.260504902919
"54","Bangladesh",2013,3,0,NA,NA,1328648.33333333,19,NA,NA,"numeric",NA,871.654949213975
"55","Bangladesh",2014,3,0,4,1,1345034.66666667,17.6666666666667,NA,NA,"numeric",NA,412.804657364001
"56","Bangladesh",2015,1,0,1,4,253788,3,NA,NA,"numeric",NA,13.8488122818214
"57","Barbados",2008,1,0,NA,NA,1765,49,NA,NA,"numeric",NA,133.094973420591
"58","Bermuda",2011,1,0,0,NA,902,22,NA,NA,"numeric",NA,87.3654306431375
"59","Bhutan",2007,2,0,NA,NA,1853.5,1827.5,NA,NA,"numeric",NA,507.373605447247
"60","Bhutan",2008,2,0,NA,NA,8947.5,1115,NA,NA,"numeric",NA,752.991092033689
"61","Bhutan",2009,4,3,NA,NA,NA,NA,NA,NA,"numeric",NA,NA
"62","Bhutan",2010,8,0,NA,NA,4000.125,1967.125,NA,NA,"numeric",NA,497.0251614175
"63","Bhutan",2011,1,0,1,NA,2805,2108,NA,NA,"numeric",NA,15.2676275274586
"64","Bhutan",2012,3,0,NA,NA,38857,1516.33333333333,NA,NA,"numeric",NA,372.074243573042
"65","Bolivia",2009,1,0,0,NA,812799,3782,NA,NA,"numeric",NA,18.1672441840299
"66","Bolivia",2010,3,0,16,NA,281880.333333333,3110,NA,NA,"numeric",NA,676.156726654959
"67","Bolivia",2011,1,0,0,NA,812799,3782,NA,NA,"numeric",NA,337.858408788715
"68","Bolivia",2013,1,0,21,27,2361,1575,NA,NA,"numeric",NA,1510.76437413077
"69","Bolivia",2014,3,0,20,0,67714.6666666667,2475.66666666667,NA,NA,"numeric",NA,830.430659909897
"70","Bosnia",2014,3,0,0,0,8670.33333333333,345.666666666667,NA,NA,"numeric",NA,275.52086154953
"71","Bosnia-Herzegovina",2015,0,1,4,1,NA,NA,3.4,3.4,"numeric",NA,NA
"72","Bosnia and Herzegovina",2010,5,0,3,NA,35231.2,302.8,NA,NA,"numeric",NA,161.862629732541
"73","Brazil",2007,4,1,14,NA,NA,NA,NA,NA,"numeric",NA,NA
