apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2007	1	8	18	6	kyrgyzstan	kyrgyzstan:  isfaria	39.803	70.311							2	187	3										~$1 to $5 Million	2	187	
	2007	1	9	20	4.5	china	china:  gansu province	37.021	103.911							3	2000	4										~$5 to $24 Million	3	2000	
	2007	1	10	23	4.7	china	china:  gansu province	33.259	104.74							1		2										Less than $1 Million	1		
Tsu	2007	1	13	10	8.1	russia	russia:  kuril islands	46.243	154.524																			#N/A			
	2007	1	21	3	5.1	turkey	turkey:  e	39.592	42.863			2				1									2	1		Less than $1 Million	1		
	2007	1	21	22	7.5	indonesia	indonesia:  molucca islands:  n	1.065	126.282	4		4				1					4	1			4	1		Less than $1 Million	1		
	2007	2	16	79	4.9	philippines	philippines:  mindanao	6.614	126.24							1												Less than $1 Million	1		
	2007	2	21	10	5.7	turkey	turkey:  dogankoy, puturge, sivrice	38.318	39.267							1		1		1								Less than $1 Million	1		
	2007	3	6	19	6.4	indonesia	indonesia:  sumatra:  southern	-0.493	100.498	67		826				3	43719	4	43719	4	67	2			826	3		~$5 to $24 Million	3	43719	
	2007	3	6	43	5	colombia	colombia:  cauca, sotara, purace,	2.082	-76.495			9				1	9	1							9	1		Less than $1 Million	1	9	
	2007	3	6	16	4.7	iran	iran:  western:  dorud	33.49	48.93			35				1									35	1		Less than $1 Million	1		
Tsu	2007	3	25	34	7.1	vanuatu	vanuatu islands	-20.617	169.357																			#N/A			
Tsu	2007	3	25	8	6.7	japan	japan:  honshu:  w coast	37.336	136.588	1		150				3	58	2	455	3	1	1			150	3		~$5 to $24 Million	3	58	455
	2007	3	25	15	5.8	greece	greece:  argostolion, kefallinia	38.34	20.42							1		1										Less than $1 Million	1		
Tsu	2007	4	1	24	8.1	solomon islands	solomon islands	-8.466	157.043	54						3	300	3	500	3	54	2						~$5 to $24 Million	3	2500	500
	2007	4	13	34	6	mexico	mexico:  guerrero, atoyac	17.302	-100.198							1	2	1										Less than $1 Million	1	2	
	2007	4	15	16	4.6	japan	japan:  honshu:  w	34.807	136.239			12				2	63	1							12	1		~$1 to $5 Million	2	63	
	2007	4	16	14	4.5	albania	albania:  tirana	41.172	19.897							1		1										#N/A			
Tsu	2007	4	21	37	6.2	chile	chile:  southern	-45.243	-72.648							1			2	1	10	1						Less than $1 Million	1		2
	2007	4	28	10	4.6	uk	united kingdom:  england:  folkestone	51.085	1.009			1				1									1	1		Less than $1 Million	1		
	2007	5	8	14	4.5	usa	montana:  sheridan	45.394	-112.13							1												Less than $1 Million	1		
	2007	5	16	24	6.3	laos	laos:  bokeo;  thailand:  chiang rai, chian saen	20.504	100.746							1												Less than $1 Million	1		
	2007	5	29	24	6.1	indonesia	indonesia: labuha	-1.065	127.343							1		2										Less than $1 Million	1		
	2007	6	2	5	6.1	china	china:  yunnan province:  ning'er	23.028	101.052	3		329	310			4					3	1			329	3	310	$25 Million or more	4		
	2007	6	13	23	6.7	guatemala	guatemala:  guatemala city	13.554	-90.618							1		2		2								Less than $1 Million	1		
	2007	6	18	5	5.5	iran	iran:  qom	34.437	50.833							1		2		2								Less than $1 Million	1		
	2007	7	13	50	4.5	ecuador	ecuador:  zaruma	-3.987	-79.836							1												#N/A			
Tsu	2007	7	16	10	6.6	japan	japan:  honshu:  w coast	37.57	138.478	9		1088	12500			4			875	3	9	1			1088	4	12500	$25 Million or more	4		875
	2007	7	20	10	5.6	china	china:  xinjiang:  tekes	42.913	82.378							2	2120	4										~$1 to $5 Million	2	2120	
	2007	7	20	5	4.2	usa	california:  montclair	37.804	-122.193							1												Less than $1 Million	1		
